"Step","Test run at 20230621-124849 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-124849 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-124849 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","0.9467815097342146","0.9467815097342146","0.9467815097342146"
"1","0.7700950465303786","0.7700950465303786","0.7700950465303786"
"2","0.7008608826931487","0.7008608826931487","0.7008608826931487"
"3","0.6109208591440891","0.6109208591440891","0.6109208591440891"
"4","0.5133731599817885","0.5133731599817885","0.5133731599817885"
"5","0.39873499439117754","0.39873499439117754","0.39873499439117754"
"6","0.27036095933711274","0.27036095933711274","0.27036095933711274"
"7","0.20108642001101312","0.20108642001101312","0.20108642001101312"
"8","0.16649624626053142","0.16649624626053142","0.16649624626053142"
"9","0.1503628042942666","0.1503628042942666","0.1503628042942666"
"10","0.13505809231007354","0.13505809231007354","0.13505809231007354"
"11","0.12470125890475639","0.12470125890475639","0.12470125890475639"
"12","0.12052203960558201","0.12052203960558201","0.12052203960558201"
"13","0.11342682332751598","0.11342682332751598","0.11342682332751598"
"14","0.10840939563956667","0.10840939563956667","0.10840939563956667"
"15","0.10437870215862355","0.10437870215862355","0.10437870215862355"
"16","0.1028650996691369","0.1028650996691369","0.1028650996691369"
"17","0.09826989463986234","0.09826989463986234","0.09826989463986234"
"18","0.09554699301085573","0.09554699301085573","0.09554699301085573"
"19","0.09607316260325148","0.09607316260325148","0.09607316260325148"
