"Step","Test run at 20230621-123314 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-123314 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-123314 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","0.9440538808703423","0.9440538808703423","0.9440538808703423"
"1","0.766342286641399","0.766342286641399","0.766342286641399"
"2","0.6940270159393549","0.6940270159393549","0.6940270159393549"
"3","0.5977641257146994","0.5977641257146994","0.5977641257146994"
"4","0.5004681845506033","0.5004681845506033","0.5004681845506033"
"5","0.38145450844118994","0.38145450844118994","0.38145450844118994"
"6","0.2556362190904717","0.2556362190904717","0.2556362190904717"
"7","0.200587869156152","0.200587869156152","0.200587869156152"
"8","0.16626411428054175","0.16626411428054175","0.16626411428054175"
"9","0.1492770332066963","0.1492770332066963","0.1492770332066963"
"10","0.1343686164667209","0.1343686164667209","0.1343686164667209"
"11","0.12720263454442224","0.12720263454442224","0.12720263454442224"
"12","0.12483346221658091","0.12483346221658091","0.12483346221658091"
"13","0.11452163546346128","0.11452163546346128","0.11452163546346128"
"14","0.10714918281883001","0.10714918281883001","0.10714918281883001"
"15","0.10694441897794604","0.10694441897794604","0.10694441897794604"
"16","0.09806455951184034","0.09806455951184034","0.09806455951184034"
"17","0.10390900735122462","0.10390900735122462","0.10390900735122462"
"18","0.09488988233109315","0.09488988233109315","0.09488988233109315"
"19","0.0921346905330817","0.0921346905330817","0.0921346905330817"
