"Step","Test run at 20230621-120221 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-120221 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-120221 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","0.9451335204275031","0.9451335204275031","0.9451335204275031"
"1","0.7664816793642546","0.7664816793642546","0.7664816793642546"
"2","0.691500923508092","0.691500923508092","0.691500923508092"
"3","0.5953031301498413","0.5953031301498413","0.5953031301498413"
"4","0.48959709311786453","0.48959709311786453","0.48959709311786453"
"5","0.36640853756352476","0.36640853756352476","0.36640853756352476"
"6","0.2519001182756926","0.2519001182756926","0.2519001182756926"
"7","0.1920986504931199","0.1920986504931199","0.1920986504931199"
"8","0.15963375913469416","0.15963375913469416","0.15963375913469416"
"9","0.14509809903408352","0.14509809903408352","0.14509809903408352"
"10","0.1298999773828607","0.1298999773828607","0.1298999773828607"
"11","0.12591451790771988","0.12591451790771988","0.12591451790771988"
"12","0.11876281107726851","0.11876281107726851","0.11876281107726851"
"13","0.11479947198378412","0.11479947198378412","0.11479947198378412"
"14","0.10700392142722481","0.10700392142722481","0.10700392142722481"
"15","0.10318538962226165","0.10318538962226165","0.10318538962226165"
"16","0.10132818096562436","0.10132818096562436","0.10132818096562436"
"17","0.09745539646399648","0.09745539646399648","0.09745539646399648"
"18","0.09400986809479563","0.09400986809479563","0.09400986809479563"
"19","0.0886896055779959","0.0886896055779959","0.0886896055779959"
