"Step","Test run at 20230621-113100 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-113100 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-113100 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","1.7305458312233288","1.7305458312233288","1.7305458312233288"
"1","0.9353880435228348","0.9353880435228348","0.9353880435228348"
"2","0.810392610107859","0.810392610107859","0.810392610107859"
"3","0.7408817671239376","0.7408817671239376","0.7408817671239376"
"4","0.6610829873631398","0.6610829873631398","0.6610829873631398"
"5","0.592263183866938","0.592263183866938","0.592263183866938"
"6","0.5189519251386324","0.5189519251386324","0.5189519251386324"
"7","0.4341009783868988","0.4341009783868988","0.4341009783868988"
"8","0.3355309432372451","0.3355309432372451","0.3355309432372451"
"9","0.26210187608376145","0.26210187608376145","0.26210187608376145"
"10","0.21798460418358445","0.21798460418358445","0.21798460418358445"
"11","0.19431094716613492","0.19431094716613492","0.19431094716613492"
"12","0.17354617702464262","0.17354617702464262","0.17354617702464262"
"13","0.16121705962965885","0.16121705962965885","0.16121705962965885"
"14","0.15613142183671394","0.15613142183671394","0.15613142183671394"
"15","0.14188695924046138","0.14188695924046138","0.14188695924046138"
"16","0.14003544199901322","0.14003544199901322","0.14003544199901322"
"17","0.13116732643296322","0.13116732643296322","0.13116732643296322"
"18","0.12845794251188636","0.12845794251188636","0.12845794251188636"
"19","0.1257865271375825","0.1257865271375825","0.1257865271375825"
